,Unnamed: 0,Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
136,136,30136,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,36,5.189426593002778,46,80,37,304.4649726934141,1
137,137,30137,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,52,6.26161337665661,62,80,53,312.0542656403163,1
138,138,30138,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,56,3.3196102566463512,59,80,57,335.02913464133115,1
139,139,30139,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,123,1.285947561264038,163,80,124,361.377668551278,1
140,140,30140,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,41,2.737827894014893,45,100,42,274.42469091378985,1
141,141,30141,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,71,2.989395496172486,103,100,72,271.55043750932543,1
142,142,30142,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,45,0.15221321582794178,52,100,46,277.4623533272502,1
143,143,30143,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,71,2.9969421594567875,81,100,72,247.59900466766828,1
144,144,30144,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,70,0.37265753746032704,85,100,71,282.5521548593247,1
145,145,30145,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,41,6.145593889275629,50,100,42,300.56895792503354,1
146,146,30146,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,81,7.556064042529114,87,100,82,314.377569123084,1
147,147,30147,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,58,7.738791142371371,68,100,59,300.7548421985272,1
148,148,30148,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,155,9.502703522113041,208,100,156,314.82741661884666,1
149,149,30149,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,114,4.556235214154625,124,100,115,320.31083565273605,1
150,150,30150,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,46,2.757430013937531,49,300,47,245.0862693021934,1
151,151,30151,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,115,5.661367842187534,119,300,116,261.4936478334615,1
152,152,30152,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,69,4.92097676657642,79,300,70,252.104518306315,1
153,153,30153,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,65,4.894172379006992,77,300,66,268.0387050268183,1
154,154,30154,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,188,5.76505088770711,218,300,189,270.66871849795166,1
155,155,30155,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,97,9.851752729209043,100,300,98,305.1810558973302,1
156,156,30156,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,198,7.173108674949879,230,300,199,339.20804528318934,1
157,157,30157,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,45,8.225418822224363,66,300,46,311.170042560028,1
158,158,30158,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,111,0.9918529987335205,131,300,112,352.1768485212175,1
159,159,30159,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,64,0.30346620082855225,82,300,65,343.05129559002745,1
160,160,30160,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,40,4.178433416815132,52,600,41,261.00280028022894,1
161,161,30161,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,71,4.483349083395332,90,600,72,246.25491186096988,1
162,162,30162,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,151,6.0167036041930615,184,600,152,272.6948668994355,1
163,163,30163,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,21,0.03533810377120965,28,600,22,278.93902269413616,1
164,164,30164,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,205,8.341797271569835,248,600,206,271.0674762888765,1
165,165,30165,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,118,8.529594138467715,155,600,119,310.44462267670485,1
166,166,30166,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,98,8.367402627443463,135,600,99,309.3050880238512,1
167,167,30167,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,57,7.880080654596478,71,600,58,314.07293779602395,1
168,168,30168,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,77,9.231294958604307,88,600,78,313.544305156193,1
169,169,30169,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,48,8.205194128343717,64,600,49,316.6504563738494,1
170,170,30170,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,90,5.222811439832318,111,1000,91,262.2309212523038,1
171,171,30171,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,36,0.09831315279006946,43,1000,37,293.5298789410848,1
172,172,30172,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,109,0.9896450042724607,132,1000,110,310.22192019662435,1
173,173,30173,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,91,4.606195489955214,102,1000,92,266.8656195531249,1
174,174,30174,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,60,0.23761475086212158,69,1000,61,280.2296323418589,1
175,175,30175,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,161,10.329605592081204,205,1000,162,305.09023565017367,1
176,176,30176,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,81,5.384132219591865,82,1000,82,320.10765195183427,1
177,177,30177,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,61,0.2510553002357482,72,1000,62,345.18958518620065,1
178,178,30178,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,66,6.342566272261349,88,1000,67,333.0431142680734,1
179,179,30179,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,33,4.947076008600465,38,1000,34,334.5373186413191,1
180,180,30180,NRRT*,forest,13,"[108, 175]","[33, 11]",0,50,2.1992689502611547,57,5,51,272.2180239097245,1
181,181,30181,NRRT*,forest,13,"[108, 175]","[33, 11]",1,175,4.6573788655176545,218,5,176,284.5768039241658,1
182,182,30182,NRRT*,forest,13,"[108, 175]","[33, 11]",2,62,0.2705876827239989,83,5,63,300.07109371609425,1
183,183,30183,NRRT*,forest,13,"[108, 175]","[33, 11]",3,119,3.151140941418686,141,5,120,274.62650927352877,1
184,184,30184,NRRT*,forest,13,"[108, 175]","[33, 11]",4,77,1.0660617150104774,79,5,78,284.4459182671359,1
185,185,30185,NRRT*,forest,13,"[234, 250]","[11, 97]",0,140,1.6798229813575745,156,5,141,328.5495149258928,1
186,186,30186,NRRT*,forest,13,"[234, 250]","[11, 97]",1,119,1.8393700351122482,142,5,120,337.77049518099847,1
187,187,30187,NRRT*,forest,13,"[234, 250]","[11, 97]",2,43,0.9905210731643324,53,5,44,331.8522266396199,1
188,188,30188,NRRT*,forest,13,"[234, 250]","[11, 97]",3,46,0.9992564914840345,56,5,47,335.70029280780534,1
189,189,30189,NRRT*,forest,13,"[234, 250]","[11, 97]",4,209,3.817575216293335,233,5,210,380.9964015328958,1
190,190,30190,NRRT*,forest,13,"[108, 175]","[33, 11]",0,156,2.1020160913467407,189,10,157,303.56013079715535,1
191,191,30191,NRRT*,forest,13,"[108, 175]","[33, 11]",1,72,0.421172261238098,88,10,73,303.76752243947027,1
192,192,30192,NRRT*,forest,13,"[108, 175]","[33, 11]",2,55,0.8430424727237954,70,10,56,287.0537923473703,1
193,193,30193,NRRT*,forest,13,"[108, 175]","[33, 11]",3,135,2.1357738770283,181,10,136,296.5358423446856,1
194,194,30194,NRRT*,forest,13,"[108, 175]","[33, 11]",4,35,0.7007405556476844,40,10,36,275.1414367487934,1
195,195,30195,NRRT*,forest,13,"[234, 250]","[11, 97]",0,166,3.2270510194915425,208,10,167,340.68366423894423,1
196,196,30196,NRRT*,forest,13,"[234, 250]","[11, 97]",1,166,4.027763617676023,240,10,167,329.96185749254903,1
197,197,30197,NRRT*,forest,13,"[234, 250]","[11, 97]",2,188,3.112548530101776,241,10,189,386.89138051771073,1
198,198,30198,NRRT*,forest,13,"[234, 250]","[11, 97]",3,182,4.590572506490683,240,10,183,334.08417929114563,1
199,199,30199,NRRT*,forest,13,"[234, 250]","[11, 97]",4,93,2.409810513559316,125,10,94,328.55281166485463,1
200,200,30200,NRRT*,forest,13,"[108, 175]","[33, 11]",0,75,0.4310224056243895,104,20,76,319.15838345693396,1
201,201,30201,NRRT*,forest,13,"[108, 175]","[33, 11]",1,58,1.3714032598572397,73,20,59,296.88910355469335,1
202,202,30202,NRRT*,forest,13,"[108, 175]","[33, 11]",2,67,1.4702812858658456,83,20,68,289.24494138290356,1
203,203,30203,NRRT*,forest,13,"[108, 175]","[33, 11]",3,103,1.9704049058991098,110,20,104,274.0593257214023,1
